"Old.name"	"name"	"species"	"type.x"	"treatmentTime"	"cancer"	"primary"	"organ"	"cellName"	"sex"	"type.y"	"GEOlink"	"papers"	"GEO"
"EB1"	"E.Br.20h.1"	"Homo_sapiens"	"epithelial"	"20h"	1	0	"breast"	"SkBr3"	"female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"EB1"	"E.Br.8h.1"	"Homo_sapiens"	"epithelial"	"8h"	1	0	"breast"	"SkBr3"	"female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"EB2"	"E.Br.30d.1"	"Homo_sapiens"	"epithelial"	"30d"	1	1	"breast"	"primaryBreastCancer"	"female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35925"	"PMID: 23623780"	"GSE35925"
"EB3"	"E.Br.24h.4"	"Homo_sapiens"	"epithelial"	"24h"	1	1	"breast"	"primaryBreastCancerFragments"	"female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"EB3"	"E.Br.24h.3"	"Homo_sapiens"	"epithelial"	"24h"	1	1	"breast"	"primaryBreastCancerFragments"	"female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"EB4"	"E.Br.24h.1"	"Homo_sapiens"	"epithelial"	"24h"	1	0	"breast"	"MCF7"	"female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"EB4"	"E.Br.24h.2"	"Homo_sapiens"	"epithelial"	"24h"	1	0	"breast"	"MDA-MB-31"	"female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"eco1"	"e.Co.6h.2"	"Mus musculus"	"epithelial"	"6h"	0	1	"duodenum"	"epithelium"	"male"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69170"	"PMID: 26041780"	"GSE69170"
"eco1"	"e.Co.6h.1"	"Mus musculus"	"epithelial"	"6h"	0	1	"duodenum"	"epithelium"	"male"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69170"	"PMID: 26041780"	"GSE69170"
"ECorn1"	"E.Corn.6h.1"	"Homo_sapiens"	"epithelial"	"6h"	0	1	"cornea"	"hTCEpi"	"unknown"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72662"	"PMID: 27196318"	"GSE72662"
"ei1"	"e.Co.3M.1"	"Mus musculus"	"epithelial"	"3M"	0	1	"colon"	"intestinalEpithelium"	"male"	"epithelial/myeloid/lymphocytic"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61111"	"PMID: 25247786"	"GSE61111"
"ei1"	"e.Co.3M.2"	"Mus musculus"	"epithelial"	"3M"	0	1	"colon"	"intestinalEpithelium"	"male"	"epithelial/myeloid/lymphocytic"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61111"	"PMID: 25247786"	"GSE61111"
"EL1"	"E.Lu.24h.1"	"Homo_sapiens"	"epithelial"	"24h"	0	1	"lung"	"AlveloarTypeIIcells"	"male/female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"ep1"	"e.Pr.12h.1"	"Mus musculus"	"epithelial"	"12h"	1	1	"prostate"	"prostateCancer"	"unknown"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57382"	""	"GSE57382"
"ep1"	"e.Pr.24h.1"	"Mus musculus"	"epithelial"	"24h"	1	1	"prostate"	"prostateCancer"	"unknown"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57382"	""	"GSE57382"
"EP1"	"E.Pr.48h.1"	"Homo_sapiens"	"epithelial"	"48h"	1	0	"prostate"	"RWPE1"	NA	NA	NA	NA	NA
"EP1"	"E.Pr.24h.3"	"Homo_sapiens"	"epithelial"	"24h"	1	0	"prostate"	"RWPE1"	NA	NA	NA	NA	NA
"EP1"	"E.Pr.6h.1"	"Homo_sapiens"	"epithelial"	"6h"	1	0	"prostate"	"RWPE1"	NA	NA	NA	NA	NA
"EP2"	"E.Pr.24h.2"	"Homo_sapiens"	"epithelial"	"24h"	0	1	"prostate"	"prostosphere"	"male"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"EP2"	"E.Pr.24h.1"	"Homo_sapiens"	"epithelial"	"24h"	1	0	"prostate"	"LNCaP"	"male"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"EP3"	"E.Pr.48h.3"	"Homo_sapiens"	"epithelial"	"48h"	1	0	"prostate"	"LNCaP"	"male"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17461"	"PMID: 21592394"	"GSE23815"
"EP3"	"E.Pr.48h.2"	"Homo_sapiens"	"epithelial"	"48h"	1	0	"prostate"	"LNCaP"	"male"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17461"	"PMID: 21592394"	"GSE23815"
"EPan1"	"E.Pan.3d.1"	"Homo_sapiens"	"epithelial"	"3d"	1	1	"pancrease"	"epithelial adenocarcinoma"	"unknown"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43770"	"PMID: 25259922"	"GSE43770"
"EPan1"	"E.Pan.7d.1"	"Homo_sapiens"	"epithelial"	"3d"	1	1	"pancrease"	"epithelial adenocarcinoma"	"unknown"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43770"	"PMID: 25259922"	"GSE43770"
"FCo1"	"F.Co.48h.1"	"Homo_sapiens"	"fibroblast"	"48h"	0	1	"colon"	"colon fibroblasts"	"male/female"	"fibroblasts"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=+GSE70468"	"PMID: 27053631"	"GSE70468"
"FCo1"	"F.Co.48h.2"	"Homo_sapiens"	"fibroblast"	"48h"	0	1	"colon"	"colon fibroblasts"	"male/female"	"fibroblasts"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=+GSE70468"	"PMID: 27053631"	"GSE70468"
"fpan1"	"f.Pan.3d.1"	"Mus musculus"	"fibroblast"	"3d"	0	1	"pancrease"	"myofibroblasts"	NA	NA	NA	NA	NA
"HSC1"	"O.HSC.4h.1"	"Homo_sapiens"	"other"	"4h"	0	1	"umbilical cord"	"hematopoieticStemCells"	"female"	"progenitor cells"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86098"	""	"GSE86098"
"LB1"	"L.B.24h.1"	"Homo_sapiens"	"lymphocytic"	"24h"	1	1	"blood"	"B-cells"	"unknown"	"lymphocytic"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22523"	"PMID: 21123297"	"GSE22523"
"LB2"	"L.B.36h.6"	"Homo_sapiens"	"lymphocytic"	"36h"	0	1	"blood"	"GM10855"	"female"	"lymphocytic"	""	"PMID: 20736230"	"GSE22172"
"LB2"	"L.B.36h.5"	"Homo_sapiens"	"lymphocytic"	"36h"	0	1	"blood"	"GM10855"	"female"	"lymphocytic"	""	"PMID: 20736230"	"GSE22172"
"LB2"	"L.B.36h.7"	"Homo_sapiens"	"lymphocytic"	"36h"	0	1	"blood"	"GM10861"	"female"	"lymphocytic"	""	"PMID: 20736230"	"GSE22172"
"LB2"	"L.B.36h.8"	"Homo_sapiens"	"lymphocytic"	"36h"	0	1	"blood"	"GM10861"	"female"	"lymphocytic"	""	"PMID: 20736230"	"GSE22172"
"LT1"	"L.T.2d.3"	"Homo_sapiens"	"lymphocytic"	"2d"	0	1	"blood"	"T-cells"	"unknown"	"lymphocytic"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6743"	"PMID: 17259988"	"GSE6743"
"LT1"	"L.T.2d.2"	"Homo_sapiens"	"lymphocytic"	"2d"	0	1	"blood"	"T-cells"	"unknown"	"lymphocytic"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6743"	"PMID: 17259988"	"GSE6743"
"LT1"	"L.T.2d.1"	"Homo_sapiens"	"lymphocytic"	"2d"	0	1	"blood"	"T-cells"	"unknown"	"lymphocytic"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6743"	"PMID: 17259988"	"GSE6743"
"LT2"	"L.T.10d.1"	"Homo_sapiens"	"lymphocytic"	"10d"	0	1	"blood"	"T-cells"	"male/female"	"lymphocytic"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23984"	"PMID: 21131424"	"GSE23984"
"LTPbmc1"	"L.Pbmc.6h.1"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	0	1	"blood"	"PBMCs"	"male/female"	"lymphocytic/myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"LTpbmc2"	"L.Pbmc.2M.1"	"Homo_sapiens"	"lymphocytic"	"2M"	0	1	"blood"	"PBMCs"	NA	NA	NA	NA	NA
"mdc1"	"m.APC.1h.1"	"Mus musculus"	""	"1h"	0	1	"bone marrow BMDCq"	"BMDC"	"unknown"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE8334"	""	"GSE8334"
"mdc1"	"m.APC.1h.2"	"Mus musculus"	""	"1h"	0	1	"bone marrow BMDCq"	"BMDC"	"unknown"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE8334"	""	"GSE8334"
"MDC1"	"M.APC.12h.1"	"Homo_sapiens"	"myeloid"	"12h"	0	1	"blood"	"Monocyte-derived DCs"	"unknown"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13762"	"PMID: 19201860"	"GSE13762"
"MDC1"	"M.APC.5d.1"	"Homo_sapiens"	"myeloid"	"5d"	0	1	"blood"	"monocytes"	"unknown"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13762"	"PMID: 19201860"	"GSE13762"
"MDC2"	"M.APC.12h.2"	"Homo_sapiens"	"myeloid"	"12h"	0	1	"blood"	"Monocyte-derived DCs"	"unknown"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23073"	"PMID: 20861222"	"GSE23073"
"mmf1"	"m.APC.24h.1"	"Mus musculus"	"myeloid"	"24h"	0	1	"bone marrow BMDCq"	"BMDC"	"unknown"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2421"	"PMID: 16118315"	"GSE2421"
"mmf1"	"m.APC.24h.2"	"Mus musculus"	"myeloid"	"24h"	0	1	"bone marrow BMDCq"	"BMDC"	"unknown"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2421"	"PMID: 16118315"	"GSE2421"
"MMf1"	"M.APC.18h.1"	"Homo_sapiens"	"myeloid"	"18h"	0	1	"blood"	"monocytes"	"male/female"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46268"	"PMID: 24501203"	"GSE46268"
"MMf10"	"M.APC.24h.6"	"Homo_sapiens"	"myeloid"	"24h"	1	0	"blood"	"THP-1"	"male/infant"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60102"	"PMID: 25482012"	"GSE60102"
"MMf11"	"M.APC.4h.2"	"Homo_sapiens"	"myeloid"	"4h"	1	0	"blood"	"THP-1"	"male/infant"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27270"	"PMID: 21846776"	"GSE27270"
"MMf2"	"M.APC.24h.2"	"Homo_sapiens"	"myeloid"	"24h"	1	0	"blood"	"THP-1"	"male/infant"	"myeloid"	""	"PMID: 23762029"	"GSE52819"
"MMf2"	"M.APC.24h.1"	"Homo_sapiens"	"myeloid"	"24h"	1	0	"blood"	"THP-1"	"male/infant"	"myeloid"	""	"PMID: 23762029"	"GSE52819"
"MMf3"	"M.APC.4h.1"	"Homo_sapiens"	"myeloid"	"4h"	0	1	"blood"	"CD14+Monocytes"	"male/female?"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56490"	""	"GSE56490"
"MMf3"	"M.APC.4h.1"	"Homo_sapiens"	"myeloid"	"4h"	0	1	"blood"	"CD14+Monocytes"	"male/female?"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56490"	""	"GSE56490"
"MMf3"	"M.APC.24h.3"	"Homo_sapiens"	"myeloid"	"24h"	0	1	"blood"	"CD14+Monocytes"	"male/female?"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56490"	""	"GSE56490"
"MMf3"	"M.APC.24h.3"	"Homo_sapiens"	"myeloid"	"24h"	0	1	"blood"	"CD14+Monocytes"	"male/female?"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56490"	""	"GSE56490"
"MMf4"	"M.Neutr.72h.1"	"Homo_sapiens"	"myeloid"	"72h"	1	0	"blood"	"HL60"	"female"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67826"	"PMID: 25970317"	"GSE67826"
"MMf5"	"M.APC.24h.5"	"Homo_sapiens"	"myeloid"	"24h"	1	0	"blood"	"THP-1"	"male"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57028"	"PMID: 24899504"	"GSE57028"
"MMf5"	"M.APC.24h.4"	"Homo_sapiens"	"myeloid"	"24h"	1	0	"blood"	"THP-1"	"male"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57028"	"PMID: 24899504"	"GSE57028"
"MMf6"	"M.APC.3M"	"Homo_sapiens"	"myeloid"	"3.months"	0	1	"lung"	"alveolarMacrophage"	"male/female"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56583"	"PMID: 24669961"	"GSE56583"
"MMf7"	"M.APC.90min.2"	"Homo_sapiens"	"myeloid"	"90min"	1	0	"blood"	"THP-1"	"male/infant"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36323"	" PMID: 23093607"	"GSE36323"
"MMf7"	"M.APC.90min.1"	"Homo_sapiens"	"myeloid"	"90min"	1	0	"blood"	"THP-1"	"male/infant"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36323"	" PMID: 23093607"	"GSE36323"
"MMf8"	"M.APC.24h.10"	"Homo_sapiens"	"myeloid"	"24h"	0	1	"blood"	"monocytes"	"male/female AA/EA"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78083"	"PMID: 26976439"	"GSE78083"
"MMf8"	"M.APC.24h.8"	"Homo_sapiens"	"myeloid"	"24h"	0	1	"blood"	"monocytes"	"male/female AA/EA"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78083"	"PMID: 26976439"	"GSE78083"
"MMf8"	"M.APC.24h.9"	"Homo_sapiens"	"myeloid"	"24h"	0	1	"blood"	"monocytes"	"male/female AA/EA"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78083"	"PMID: 26976439"	"GSE78083"
"MMf8"	"M.APC.24h.7"	"Homo_sapiens"	"myeloid"	"24h"	0	1	"blood"	"monocytes"	"male/female AA/EA"	"myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78083"	"PMID: 26976439"	"GSE78083"
"MMf9"	"L.Pbmc.24h.2"	"Homo_sapiens"	"myeloid"	"24h"	0	1	"blood"	"PBMCs"	"male/female"	"lymphocytic/myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"MMf9"	"L.Pbmc.8h.2"	"Homo_sapiens"	"myeloid"	"8h"	0	1	"blood"	"PBMCs"	"male/female"	"lymphocytic/myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"MMf9"	"L.Pbmc.24h.1"	"Homo_sapiens"	"myeloid"	"24h"	0	1	"blood"	"PBMCs"	"male/female"	"lymphocytic/myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"MMf9"	"L.Pbmc.8h.1"	"Homo_sapiens"	"myeloid"	"8h"	0	1	"blood"	"PBMCs"	"male/female"	"lymphocytic/myeloid"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"MuL1"	"Musc.Smooth.24h.1"	"Homo_sapiens"	"muscle"	"24h"	0	1	"lung"	"bronchial smooth muscle cells"	"male"	"muscle"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5145"	"PMID: 17213369"	"GSE5145"
"MuSk1"	"Musc.Skel.24h.1"	"Homo_sapiens"	"muscle"	"24h"	0	1	"vastusLateralis"	"myoblasts"	"male/female"	"muscle"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69698"	"PMID: 26469137"	"GSE69698"
"MuSk2"	"Musc.Skel.48h.1"	"Homo_sapiens"	"muscle"	"48h"	0	1	"leg"	"skeletal muscle cells"	"unknown"	"muscle"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68323"	"PMID: 26601949"	"GSE68323"
"neu1"	"n.Glial.4d.1"	"Mus musculus"	"neuronal"	"4d"	0	1	"brain"	"glial cells"	"unknown"	"neuronal"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41184"	". PMID: 23455988"	"GSE41184"
"sc1"	"o.SC.48h.1"	"Mus musculus"	"other"	"48h"	0	1	"prostate"	"prostate progenitor cells"	"unknown"	"progenitor cells"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18993"	"PMID: 21653679"	"GSE18993"
"sc1"	"o.SC.6h.1"	"Mus musculus"	"other"	"6h"	0	1	"prostate"	"prostate progenitor cells"	"unknown"	"progenitor cells"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18993"	"PMID: 21653679"	"GSE18993"
"Test1"	"O.Test.24h.2"	"Homo_sapiens"	"other"	"24h"	0	1	"urol"	"testicularCells"	"male"	"testicular"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55207"	"PMID: 24937537"	"GSE55207"
"Test1"	"O.Test.24h.1"	"Homo_sapiens"	"other"	"24h"	0	1	"testes"	"testicularCells"	"male"	"testicular"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55207"	"PMID: 24937537"	"GSE55207"
