"dataset"	"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"species"	"type.x"	"treatmentTime"	"cellName"	"sex"	"GEOlink"	"papers"	"GEO"
"E.Pr.48h.1"	1.75109964704602	"EFL1"	"79631"	1.93097363968557e-06	"Homo_sapiens"	"epithelial"	"48h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.6h.1"	4.00003895322356	"EFL1"	"79631"	1.47354248517586e-13	"Homo_sapiens"	"epithelial"	"6h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.24h.1"	3.00288322196942	"EFTUD1"	"79631"	3.89212337472167e-06	"Homo_sapiens"	"epithelial"	"24h"	"LNCaP"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.24h.2"	2.76972276663039	"EFTUD1"	"79631"	5.41505009305302e-08	"Homo_sapiens"	"epithelial"	"24h"	"prostosphere"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Br.20h.1"	2.24489162281375	"G0S2"	"50486"	1	"Homo_sapiens"	"epithelial"	"20h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.24h.2"	2.54069267907193	"G0S2"	"50486"	0.00351789693935689	"Homo_sapiens"	"epithelial"	"24h"	"MDA-MB-31"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"E.Br.24h.3"	2.54069267907193	"G0S2"	"50486"	0.00351789693935689	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.Br.24h.4"	1.61649989214427	"G0S2"	"50486"	0.0932415401283879	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.HN.24h.1"	3.55110367	"G0S2"	"50486"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	1.72543809306814	"G0S2"	"50486"	0.0239168768598754	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Pr.24h.2"	2.7592370195966	"G0S2"	"50486"	3.44409884844519e-08	"Homo_sapiens"	"epithelial"	"24h"	"prostosphere"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.6h.1"	5.84229477249727	"G0S2"	"50486"	2.81719708830431e-13	"Homo_sapiens"	"epithelial"	"6h"	"RWPE1"	NA	NA	NA	NA
"E.Br.20h.1"	4.14875571799951	"G6PD"	"2539"	1	"Homo_sapiens"	"epithelial"	"20h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.50h.1"	4.02893986926399	"G6PD"	"2539"	1	"Homo_sapiens"	"epithelial"	"50h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.8h.1"	2.73765049594768	"G6PD"	"2539"	1	"Homo_sapiens"	"epithelial"	"8h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.HN.24h.1"	4.422516378	"G6PD"	"2539"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	2.39575378380613	"G6PD"	"2539"	0.00141862253832017	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Pr.24h.1"	4.1537689549871	"G6PD"	"2539"	4.48340091716785e-06	"Homo_sapiens"	"epithelial"	"24h"	"LNCaP"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.24h.2"	3.92274876988316	"G6PD"	"2539"	3.44784881590443e-08	"Homo_sapiens"	"epithelial"	"24h"	"prostosphere"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.24h.3"	4.99286133127537	"G6PD"	"2539"	2.1084346261507e-15	"Homo_sapiens"	"epithelial"	"24h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.48h.1"	4.37579663895409	"G6PD"	"2539"	1.26280118382592e-14	"Homo_sapiens"	"epithelial"	"48h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.6h.1"	2.74972684238216	"G6PD"	"2539"	2.60080937718904e-11	"Homo_sapiens"	"epithelial"	"6h"	"RWPE1"	NA	NA	NA	NA
"E.Br.20h.1"	2.61710897365945	"GRK5"	"2869"	1	"Homo_sapiens"	"epithelial"	"20h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.24h.2"	2.10222124664036	"GRK5"	"2869"	0.00937412833164256	"Homo_sapiens"	"epithelial"	"24h"	"MDA-MB-31"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"E.Br.24h.3"	2.10222124664036	"GRK5"	"2869"	0.00937412833164256	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.Br.50h.1"	2.54634755129489	"GRK5"	"2869"	1	"Homo_sapiens"	"epithelial"	"50h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.8h.1"	2.81604184526407	"GRK5"	"2869"	1	"Homo_sapiens"	"epithelial"	"8h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.HN.24h.1"	4.366896324	"GRK5"	"2869"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	1.32881531606428	"GRK5"	"2869"	0.0908723665327188	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Pr.24h.1"	3.01041953966359	"GRK5"	"2869"	4.77063232927909e-06	"Homo_sapiens"	"epithelial"	"24h"	"LNCaP"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.6h.1"	1.7460948475351	"GRK5"	"2869"	5.1447949840067e-05	"Homo_sapiens"	"epithelial"	"6h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.24h.1"	2.85954831295696	"RGNEF"	"64283"	4.43087950992533e-05	"Homo_sapiens"	"epithelial"	"24h"	"LNCaP"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.24h.2"	1.58418874088457	"RGNEF"	"64283"	5.2363402625681e-05	"Homo_sapiens"	"epithelial"	"24h"	"prostosphere"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Br.20h.1"	4.28859024533127	"SERPINB1"	"1992"	1	"Homo_sapiens"	"epithelial"	"20h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.24h.2"	2.03500841065381	"SERPINB1"	"1992"	0.00170782848215764	"Homo_sapiens"	"epithelial"	"24h"	"MDA-MB-31"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"E.Br.24h.3"	2.03500841065381	"SERPINB1"	"1992"	0.00170782848215764	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.Br.50h.1"	6.97935205004595	"SERPINB1"	"1992"	1	"Homo_sapiens"	"epithelial"	"50h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.8h.1"	6.19208216635014	"SERPINB1"	"1992"	1	"Homo_sapiens"	"epithelial"	"8h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.HN.24h.1"	5.85407177	"SERPINB1"	"1992"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	3.665559202	"SERPINB1"	"1992"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	6.438574812	"SERPINB1"	"1992"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	1.48584987893733	"SERPINB1"	"1992"	0.00393714875524379	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Pr.24h.2"	2.79435294109096	"SERPINB1"	"1992"	3.50497388619699e-07	"Homo_sapiens"	"epithelial"	"24h"	"prostosphere"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.48h.1"	1.70203444080057	"SERPINB1"	"1992"	1.20695164959088e-07	"Homo_sapiens"	"epithelial"	"48h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.6h.1"	5.13688053181407	"SERPINB1"	"1992"	1.02684035774725e-13	"Homo_sapiens"	"epithelial"	"6h"	"RWPE1"	NA	NA	NA	NA
"E.Br.20h.1"	3.36525865558858	"WSB1"	"26118"	1	"Homo_sapiens"	"epithelial"	"20h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.24h.2"	1.42918275755654	"WSB1"	"26118"	0.0682906275974442	"Homo_sapiens"	"epithelial"	"24h"	"MDA-MB-31"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"E.Br.24h.3"	1.42918275755654	"WSB1"	"26118"	0.0682906275974442	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.Br.50h.1"	5.52755919993486	"WSB1"	"26118"	1	"Homo_sapiens"	"epithelial"	"50h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.8h.1"	4.68136979812287	"WSB1"	"26118"	1	"Homo_sapiens"	"epithelial"	"8h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.HN.24h.1"	2.41984093	"WSB1"	"26118"	0.378371517	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	1.66545426466871	"WSB1"	"26118"	0.00109714214899856	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Pr.6h.1"	1.54636024678449	"WSB1"	"26118"	0.0092151045816512	"Homo_sapiens"	"epithelial"	"6h"	"RWPE1"	NA	NA	NA	NA
