"dataset"	"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"cellType"	"species"	"type.x"	"treatmentTime"	"cellName"	"sex"	"GEOlink"	"papers"	"GEO"
"L.Pbmc.8h.2"	3.57756321575014	"C19orf59"	"199675"	0.00744110429618041	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	7.0749968266392	"CA2"	"760"	1.45450693903024e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	4.58473993516967	"CA2"	"760"	7.03771831701362e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	4.96053190543407	"CA2"	"760"	2.7599921497912e-55	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	6.06990333492741	"CA2"	"760"	1.68144431496557e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	3.66904084681209	"CA2"	"760"	5.12113488154814e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	5.3865351747865	"CAMP"	"820"	0.000456480312579953	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	4.87393725430967	"CAMP"	"820"	0.0176553197737489	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	2.23314185300978	"CAMP"	"820"	4.26245192846685e-16	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	3.08129390806634	"CAMP"	"820"	0.0138345053222695	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	3.4464093460639	"CAMP"	"820"	0.0450518938821621	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	3.06424154313657	"CD14"	"929"	0.00454950412233693	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	3.30541548862112	"CD14"	"929"	0.00023231632581858	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	7.68547542384607	"CD14"	"929"	4.17532238213633e-40	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	6.72312562987464	"CD14"	"929"	0.000161579120428601	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	3.73184799337241	"CD14"	"929"	8.4848312460074e-07	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	-2.10185448549473	"CD36"	"948"	0.0194490843865045	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	-2.2655707639519	"CD36"	"948"	0.00233399553151042	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	-1.57517794938231	"CD36"	"948"	1.40093171758541e-08	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	-2.74569234710725	"CD36"	"948"	0.00247110756538235	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	-2.64064181424159	"CD36"	"948"	0.000469156730473854	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	4.24740977131584	"CD93"	"22918"	0.000591438459297497	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	5.18430482963535	"CD93"	"22918"	4.95607251332654e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.2M.1"	1.41556872391078	"CD93"	"22918"	0.0401217891073932	"pbmc"	"Homo_sapiens"	"lymphocytic"	"2M"	"PBMCs"	NA	NA	NA	NA
"L.Pbmc.6h.1"	2.41664368084099	"CD93"	"22918"	3.79188607848492e-16	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	3.7476962451651	"CD93"	"22918"	0.000246470197037753	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	3.81661023750937	"CD93"	"22918"	5.13344635713636e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	-1.63878263447382	"CDKN1A"	"1026"	0.034460768914403	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	-2.04933356986772	"CDKN1A"	"1026"	0.00416017869255191	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	-1.3258162469772	"CDKN1A"	"1026"	1.51291442864554e-10	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	-2.20416169094497	"CDKN1A"	"1026"	0.000220985846854421	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	-2.34979206476142	"CDKN1A"	"1026"	0.00017279923236858	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	3.26132727555707	"CHST7"	"56548"	2.07953770228594e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	3.26636472395123	"CHST7"	"56548"	2.45987184001348e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.56593821545958	"CHST7"	"56548"	1.10815520325137e-15	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	1.57521756114634	"CHST7"	"56548"	0.024955120065449	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	1.71791003371024	"CHST7"	"56548"	0.00218452330619251	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	2.10821184944857	"CLMN"	"79789"	5.09735693045249e-07	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	2.25769061607946	"CLMN"	"79789"	1.68979062370945e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.46959051361199	"CLMN"	"79789"	4.76222144747169e-32	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	2.32943886250864	"CLMN"	"79789"	7.84039553236677e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	2.30370377347916	"CLMN"	"79789"	6.26380065996499e-07	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	1.79062812584494	"CRADD"	"8738"	3.54946022587485e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	1.82585526980364	"CRADD"	"8738"	7.24512057526746e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.31708669470265	"CRADD"	"8738"	3.04603465697508e-19	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	1.97314777959098	"CRADD"	"8738"	0.000301799620326356	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	2.25703741271738	"CRADD"	"8738"	7.50447486358825e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	3.0788912741959	"CRISPLD2"	"83716"	9.50433416051253e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	3.50360052109416	"CRISPLD2"	"83716"	0.00015428699249079	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.52812717606007	"CRISPLD2"	"83716"	3.37742228880617e-08	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	2.84566894486795	"CRISPLD2"	"83716"	4.81567139384856e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	2.43998021405371	"CRISPLD2"	"83716"	0.000862679631795226	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	-1.9943356351613	"CSF2RA"	"1438"	0.00108346591653718	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	-2.33436775121538	"CSF2RA"	"1438"	3.8392354680593e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.2M.1"	-1.45780864971331	"CSF2RA"	"1438"	0.00996303475094808	"pbmc"	"Homo_sapiens"	"lymphocytic"	"2M"	"PBMCs"	NA	NA	NA	NA
"L.Pbmc.8h.1"	-1.56379870192933	"CSF2RA"	"1438"	0.00296400946807652	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	-1.64417345889131	"CSF2RA"	"1438"	3.07202558254175e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	10.3292526227975	"CYP24A1"	"1591"	9.56162327768161e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	17.0412785078221	"CYP24A1"	"1591"	2.38990108112936e-07	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	3.04713309940466	"CYP24A1"	"1591"	3.93143630149812e-26	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	11.5903262780049	"CYP24A1"	"1591"	3.56615714038217e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	19.147525704156	"CYP24A1"	"1591"	8.42993514632738e-09	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	2.99198457625071	"DDEF2"	"8853"	2.65818526153714e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	2.70677333633678	"DDEF2"	"8853"	0.000228230612042018	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.84606996459711	"DDEF2"	"8853"	3.77874400156992e-41	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	3.36781948505877	"DDEF2"	"8853"	4.42971376279876e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	2.58631006360276	"DDEF2"	"8853"	0.0001571582034918	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	6.41868278757527	"DHRS9"	"10170"	6.64742301829282e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	8.75199453372901	"DHRS9"	"10170"	5.449991151821e-09	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	2.51567606390224	"DHRS9"	"10170"	4.70052528546171e-21	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	2.67875691339314	"DHRS9"	"10170"	0.00111998759674965	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	3.00025152565344	"DHRS9"	"10170"	2.88504172492414e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	1.79291427141375	"DIRC2"	"84925"	0.00298379910859512	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	2.14136398379207	"DIRC2"	"84925"	4.3027154615976e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.79870366340563	"DIRC2"	"84925"	1.29598090507236e-18	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	2.419984999543	"DIRC2"	"84925"	0.0046105950253631	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	2.30894542442701	"DIRC2"	"84925"	3.33136893661998e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	1.52178808117566	"EDG2"	"1902"	0.0315623912301702	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	1.64847921286378	"EDG2"	"1902"	0.000363665621944609	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	2.11497692612303	"EDG2"	"1902"	3.60877097562335e-32	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	2.65247397268034	"EDG2"	"1902"	1.55881385668429e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	2.01745528721571	"EDG2"	"1902"	7.80641606738234e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
